ST04Q01,ST84Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,354,699,1780,257,903,2511,622,2352,606,827,1029,1124,244,516,510,553,700,372,797,247,392,237,644,812,532,268,878,462,465,3124,910,544,654,931,413,17,252,333,823,606,223,3436,548,777,538,452,215,737,490,577,1153,655,582,604,726,567,516,2246,576,796,916,457,423,1126,1359,626,617,733
Female,Disagree,57,112,130,83,94,458,99,172,58,58,109,133,11,28,36,40,106,21,81,13,46,84,105,104,60,37,51,13,58,301,174,114,61,84,50,7,61,115,72,76,11,459,67,59,43,173,38,82,63,38,395,134,113,79,47,69,74,326,126,217,67,109,74,171,106,43,65,51
Female,Strongly agree,880,1024,2644,1133,1690,3307,897,4500,1585,865,894,1547,279,1011,1094,1127,1566,1219,1946,367,1092,1027,935,476,1036,798,919,1202,1200,6481,850,1688,1205,531,991,58,1174,1146,825,1063,348,7443,889,515,784,797,309,1038,970,1232,1683,892,967,823,1038,781,1147,5598,752,2582,1524,863,1023,2355,2605,896,1037,963
Female,Strongly disagree,17,39,25,56,31,93,20,41,22,10,23,24,4,14,7,18,42,5,17,2,21,35,20,4,11,14,6,3,21,99,28,36,13,10,7,4,22,49,12,4,4,165,23,11,12,49,2,19,24,11,112,48,18,24,17,17,13,147,38,78,4,45,25,46,29,12,16,4
Male,Agree,341,720,1928,310,1050,2321,722,2603,664,783,957,1094,224,413,644,663,802,496,1010,257,408,293,651,896,590,377,920,555,423,3944,1030,777,721,990,453,26,436,493,846,675,214,3760,587,807,613,595,244,748,585,679,1205,616,642,584,728,722,800,2643,617,1104,801,433,563,1302,1570,719,573,607
Male,Disagree,56,195,275,173,188,615,197,320,128,59,140,204,37,58,104,117,181,69,182,37,81,144,172,150,103,80,68,46,96,756,268,235,119,140,101,6,162,182,137,121,27,743,139,116,87,245,64,100,146,71,439,186,181,172,65,200,239,610,211,350,130,151,157,313,187,89,93,60
Male,Strongly agree,940,773,2408,984,1348,2534,703,3782,1380,842,802,1260,267,808,874,875,1309,957,1576,310,876,853,785,545,794,640,820,1019,838,5421,834,990,1025,599,783,68,890,945,791,797,288,5932,660,498,662,576,276,886,705,1076,1425,767,905,646,997,611,908,4751,594,2071,923,594,859,1852,2331,818,812,867
Male,Strongly disagree,18,75,56,83,66,126,59,102,33,12,53,46,4,17,23,36,40,15,53,7,37,46,52,27,25,31,13,14,46,257,63,79,25,42,17,4,52,106,22,24,5,192,72,22,16,81,7,23,45,21,137,44,38,66,35,43,61,198,61,125,13,62,40,97,38,13,43,10
