ST04Q01,ST23Q05,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,303.0,312.0,205.0,95.0,356.0,13.0,139.0,314.0,361.0,154.0
Female,Disagree,136.0,245.0,103.0,13.0,71.0,1.0,62.0,38.0,56.0,24.0
Female,Strongly agree,285.0,324.0,415.0,143.0,699.0,11.0,158.0,500.0,446.0,179.0
Female,Strongly disagree,41.0,58.0,17.0,3.0,8.0,2.0,24.0,2.0,17.0,4.0
Male,Agree,306.0,360.0,244.0,111.0,400.0,26.0,151.0,339.0,460.0,179.0
Male,Disagree,124.0,174.0,68.0,9.0,129.0,9.0,44.0,57.0,97.0,50.0
Male,Strongly agree,307.0,303.0,374.0,163.0,711.0,31.0,149.0,559.0,690.0,203.0
Male,Strongly disagree,52.0,57.0,19.0,3.0,37.0,9.0,27.0,17.0,49.0,16.0
