ST04Q01,EC04Q01A,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,3716.0,780.0,1057.0,6106.0,448.0,611.0,1594.0,2400.0,802.0,387.0,1100.0,2976.0,971.0,529.0,1067.0,382.0,1102.0,817.0,412.0,1020.0,302.0,806.0
Female,2,3138.0,1551.0,3127.0,4671.0,2187.0,1861.0,2129.0,1937.0,1290.0,2125.0,1439.0,12201.0,1370.0,1653.0,1510.0,2212.0,1016.0,1964.0,1903.0,1726.0,1899.0,1858.0
Male,1,3600.0,895.0,1134.0,5340.0,427.0,747.0,1677.0,2177.0,786.0,497.0,886.0,4268.0,942.0,626.0,1038.0,383.0,986.0,809.0,547.0,928.0,518.0,1073.0
Male,2,3548.0,1465.0,2994.0,5069.0,2109.0,1768.0,1928.0,2180.0,1594.0,1763.0,1565.0,11475.0,1746.0,1478.0,1631.0,2337.0,1140.0,1962.0,1709.0,1854.0,1883.0,2096.0
