ST04Q01,ST79Q04,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,181,226,285,40,80,637,159,388,240,66,84,432,35,212,20,31,78,10,39,56,42,31,76,27,25,146,148,38,171,216,75,396,218,24,42,4,59,59,82,270,65,1195,112,54,80,49,30,253,37,108,787,183,105,63,88,40,48,408,68,177,331,148,109,569,250,145,148,68
Female,Most Lessons,197,285,809,81,172,1093,223,754,368,53,220,552,79,233,44,55,254,51,83,109,122,78,111,71,50,174,444,83,288,417,127,545,310,110,114,7,140,106,221,379,111,1542,135,156,168,92,52,319,90,207,830,251,156,111,179,109,126,823,131,329,424,246,149,754,593,279,230,117
Female,Never or Hardly Ever,327,782,1634,1168,1900,2613,759,4071,918,1356,1058,862,228,638,1341,1331,1130,1274,2251,279,956,1009,1139,852,1338,380,540,1228,698,7957,1312,664,482,1019,712,63,802,1232,779,466,233,4781,989,830,755,1063,252,569,958,1024,717,813,774,1090,1008,956,1291,4965,922,2417,568,668,777,1105,2202,658,810,772
Female,Some Lessons,598,667,1876,248,591,2111,521,1893,744,285,692,1158,201,469,252,324,970,281,465,190,460,277,384,449,238,428,728,331,608,1439,450,761,919,410,592,12,528,269,650,658,176,3996,324,317,382,287,227,837,461,490,1071,482,644,277,555,334,287,2175,401,775,1187,470,509,1347,1075,504,591,792
Male,Every Lesson,186,263,405,68,140,828,242,597,301,117,128,488,50,213,78,71,121,47,85,88,75,83,186,74,59,161,183,31,180,485,126,623,364,56,99,9,141,135,150,307,68,1666,213,82,97,77,52,301,87,221,859,225,192,150,126,108,148,727,139,318,377,203,202,791,276,191,182,90
Male,Most Lessons,207,327,916,143,241,1050,313,929,405,106,258,565,109,231,135,99,317,95,235,130,142,136,193,151,83,194,428,95,226,813,220,528,415,181,160,12,237,179,270,363,105,1816,221,205,210,130,76,372,173,300,781,240,234,202,247,201,318,1057,229,451,459,235,271,737,558,343,249,122
Male,Never or Hardly Ever,353,603,1602,1047,1734,1918,601,3495,785,1136,918,629,216,443,1091,1217,896,1053,1964,222,810,834,870,856,1109,419,520,1189,503,7232,1291,517,364,1028,566,67,644,1122,693,419,185,3418,729,843,699,987,239,418,749,839,810,667,650,836,876,912,1156,4384,725,2113,270,462,616,993,2151,628,597,586
Male,Some Lessons,611,609,1788,302,589,1875,550,1835,714,336,649,1033,168,407,346,313,1028,351,552,176,402,291,417,539,263,367,694,325,510,1857,565,421,742,528,532,16,528,322,687,550,186,3753,337,316,390,329,222,729,462,485,812,480,688,294,583,366,402,2091,418,804,767,368,534,1124,1168,515,545,744
