ST04Q01,IC01Q05,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,No,1018.0,460.0,765.0,1822.0,1677.0,1930.0,1439.0,1348.0,1731.0,480.0,1552.0,886.0,427.0,1045.0,1236.0,1509.0,329.0,324.0,957.0,3635.0,686.0,1330.0,1589.0,1426.0,26.0,1587.0,10576.0,258.0,527.0,285.0,646.0,1436.0,900.0,1900.0,1241.0,1336.0,1348.0,1792.0,2314.0,293.0,1522.0,1797.0,1328.0
Female,"Yes, and I use it",2948.0,1266.0,2419.0,998.0,614.0,868.0,630.0,775.0,483.0,1858.0,432.0,2137.0,1131.0,974.0,580.0,591.0,649.0,1282.0,696.0,8199.0,1336.0,1604.0,463.0,424.0,49.0,661.0,3960.0,1266.0,968.0,1124.0,123.0,574.0,1388.0,394.0,609.0,791.0,469.0,547.0,5853.0,1301.0,2440.0,359.0,759.0
Female,"Yes, but I don’t use it",2864.0,577.0,781.0,614.0,334.0,289.0,191.0,322.0,357.0,1088.0,384.0,1247.0,477.0,497.0,248.0,335.0,645.0,906.0,508.0,2783.0,780.0,544.0,279.0,301.0,60.0,326.0,2333.0,542.0,574.0,798.0,72.0,345.0,502.0,231.0,404.0,604.0,339.0,308.0,4102.0,653.0,1516.0,146.0,337.0
Male,No,550.0,255.0,318.0,944.0,1207.0,1396.0,761.0,802.0,1104.0,192.0,1008.0,387.0,264.0,386.0,1066.0,894.0,147.0,92.0,524.0,1330.0,318.0,827.0,1597.0,923.0,8.0,1196.0,7137.0,131.0,299.0,116.0,555.0,921.0,334.0,1489.0,990.0,827.0,1022.0,1259.0,925.0,136.0,681.0,1567.0,655.0
Male,"Yes, and I use it",5609.0,1848.0,3335.0,1883.0,983.0,1329.0,1075.0,1419.0,1157.0,2794.0,1040.0,3385.0,1579.0,1766.0,1059.0,1119.0,1283.0,2113.0,1145.0,12279.0,2296.0,1802.0,727.0,901.0,138.0,1246.0,6949.0,1879.0,1560.0,1962.0,224.0,1042.0,2157.0,792.0,967.0,1527.0,1042.0,1455.0,9702.0,1822.0,4378.0,677.0,1293.0
Male,"Yes, but I don’t use it",921.0,226.0,195.0,412.0,330.0,181.0,103.0,259.0,258.0,290.0,262.0,448.0,158.0,312.0,227.0,175.0,200.0,209.0,309.0,1303.0,370.0,461.0,341.0,233.0,7.0,256.0,1478.0,161.0,180.0,200.0,86.0,204.0,270.0,227.0,248.0,399.0,272.0,360.0,1539.0,228.0,440.0,146.0,177.0
