ST04Q01,ST101Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,1,574,597,1355,448,755,1405,453,2168,693,933,906,960,152,264,667,750,1071,507,1164,162,593,419,553,776,601,490,718,409,779,2370,700,802,717,542,597,25,633,491,363,550,159,2961,534,284,404,351,192,533,677,803,929,648,634,680,673,620,629,1784,338,1014,1130,531,600,1549,809,454,254,460
Female,2,520,723,1866,597,966,2391,604,2601,880,556,844,1271,190,519,699,681,943,714,1184,220,531,541,673,519,756,367,808,594,592,4241,800,882,730,712,575,45,541,625,685,808,203,5009,632,552,562,565,209,887,593,663,1316,678,598,561,703,577,765,2972,651,1432,1131,529,496,1276,1451,598,536,936
Female,3,164,408,1035,329,769,1890,380,1809,581,180,252,483,150,506,235,249,308,279,413,167,305,305,313,114,254,150,253,489,270,2531,394,466,337,251,215,20,209,378,503,378,143,2602,234,401,326,415,126,309,248,293,695,254,352,194,334,197,269,2461,447,901,182,224,334,658,1300,389,622,294
Female,4,59,194,284,177,304,637,165,541,155,70,39,136,54,224,58,63,140,68,105,70,94,118,123,22,75,74,52,187,128,880,90,201,125,65,64,6,91,159,141,78,61,896,113,149,84,149,45,79,61,90,366,106,151,91,111,63,58,1064,127,373,16,191,140,215,568,157,370,83
Male,1,549,584,1528,514,766,1483,495,2063,746,990,887,855,155,329,685,782,918,529,975,198,628,490,613,882,584,463,662,436,634,2607,931,787,869,690,550,29,575,534,379,472,152,3395,577,336,443,423,238,525,581,788,1122,648,625,643,798,643,654,2086,376,1128,708,523,643,1469,973,505,377,437
Male,2,524,691,2035,571,934,2129,679,2750,857,497,770,1074,217,485,676,686,955,742,1296,234,444,489,644,608,658,405,818,641,506,4361,860,882,690,772,611,32,633,651,766,660,200,4575,588,654,559,630,228,865,608,772,1297,666,669,539,679,627,940,3119,681,1348,976,418,562,1322,1661,618,478,828
Male,3,159,257,901,284,605,1279,342,1439,424,141,233,405,135,367,188,145,245,206,399,108,233,246,277,101,154,130,240,372,146,2315,285,281,250,235,181,23,213,308,510,307,130,1947,193,337,274,314,88,267,190,223,506,244,266,162,277,177,289,2005,264,735,218,176,260,521,1070,321,369,163
Male,4,50,146,321,186,322,588,181,590,137,70,73,163,48,174,89,83,173,86,172,45,113,172,149,28,70,104,59,159,77,1022,92,152,87,78,67,14,113,202,182,84,45,689,139,143,106,151,43,62,88,79,277,96,118,112,106,92,120,937,119,439,31,127,139,251,422,129,276,52
