ST04Q01,EC11Q02,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",2176.0,3897.0,9176.0,3300.0,391.0,1959.0,1942.0,2414.0,12477.0,2331.0,2078.0,2268.0,2288.0,2241.0,1274.0,2018.0,551.0
Female,Yes,154.0,286.0,1636.0,421.0,552.0,145.0,150.0,126.0,460.0,10.0,105.0,307.0,534.0,105.0,1467.0,182.0,60.0
Male,"No, never",2172.0,3863.0,8759.0,3249.0,462.0,1926.0,2217.0,2321.0,11459.0,2675.0,1995.0,2333.0,2071.0,2124.0,1242.0,2067.0,828.0
Male,Yes,192.0,259.0,1675.0,348.0,434.0,161.0,163.0,131.0,617.0,14.0,111.0,339.0,748.0,165.0,1537.0,334.0,165.0
