ST04Q01,EC03Q05,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",5586.0,1736.0,3495.0,9375.0,2444.0,1899.0,2945.0,3875.0,1899.0,1922.0,2219.0,11967.0,1733.0,1608.0,2079.0,2181.0,1746.0,1450.0,1881.0,2282.0,1749.0,1897.0
Female,Yes,1048.0,533.0,583.0,1253.0,173.0,535.0,593.0,301.0,171.0,528.0,254.0,2935.0,597.0,562.0,377.0,358.0,329.0,1300.0,361.0,409.0,389.0,683.0
Male,"No, never",5496.0,1695.0,3394.0,8760.0,2288.0,1795.0,2572.0,3638.0,2155.0,1698.0,2055.0,11577.0,1986.0,1568.0,2036.0,2277.0,1726.0,1548.0,1709.0,2200.0,1821.0,1912.0
Male,Yes,1330.0,563.0,576.0,1418.0,231.0,644.0,812.0,479.0,209.0,502.0,271.0,3674.0,686.0,517.0,498.0,380.0,325.0,1179.0,470.0,512.0,500.0,1062.0
