ST04Q01,IC11Q01,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,No,4272.0,1733.0,2910.0,2596.0,1448.0,2657.0,1748.0,1938.0,2104.0,1595.0,1641.0,3390.0,1568.0,1939.0,1392.0,1961.0,1138.0,1811.0,1556.0,10561.0,2419.0,1509.0,2065.0,1576.0,97.0,1373.0,11405.0,1412.0,1398.0,1200.0,565.0,2018.0,1781.0,1632.0,1873.0,1429.0,1724.0,2124.0,8625.0,1776.0,3939.0,1563.0,1542.0
Female,"Yes, but only the teacher demonstrated this ",1177.0,228.0,556.0,357.0,1107.0,317.0,128.0,245.0,219.0,578.0,378.0,444.0,207.0,218.0,581.0,223.0,172.0,478.0,147.0,1005.0,139.0,484.0,191.0,310.0,22.0,891.0,2370.0,444.0,387.0,299.0,99.0,103.0,499.0,311.0,112.0,673.0,144.0,251.0,1389.0,203.0,829.0,241.0,159.0
Female,"Yes, students did this",1249.0,304.0,431.0,416.0,69.0,104.0,295.0,258.0,231.0,1020.0,335.0,386.0,259.0,333.0,96.0,211.0,204.0,207.0,339.0,2476.0,313.0,1388.0,78.0,276.0,18.0,299.0,2718.0,162.0,254.0,636.0,176.0,219.0,419.0,614.0,261.0,608.0,293.0,230.0,1804.0,169.0,555.0,463.0,598.0
Male,No,4117.0,1633.0,2663.0,2305.0,1356.0,2401.0,1443.0,1754.0,1909.0,1413.0,1396.0,3139.0,1497.0,1581.0,1546.0,1591.0,1076.0,1625.0,1321.0,9421.0,2472.0,859.0,2164.0,1357.0,95.0,1469.0,9006.0,1387.0,1273.0,1135.0,508.0,1680.0,1610.0,1372.0,1553.0,1403.0,1629.0,1959.0,8055.0,1537.0,3687.0,1349.0,1160.0
Male,"Yes, but only the teacher demonstrated this ",1264.0,266.0,554.0,406.0,1054.0,328.0,117.0,288.0,271.0,562.0,432.0,516.0,202.0,371.0,621.0,243.0,188.0,454.0,172.0,1569.0,189.0,512.0,322.0,314.0,32.0,755.0,2668.0,517.0,405.0,349.0,115.0,155.0,595.0,312.0,193.0,651.0,224.0,482.0,1446.0,245.0,915.0,408.0,243.0
Male,"Yes, students did this",1515.0,369.0,538.0,461.0,113.0,173.0,301.0,414.0,303.0,1069.0,443.0,505.0,290.0,470.0,158.0,305.0,282.0,272.0,397.0,3282.0,446.0,1633.0,185.0,396.0,27.0,444.0,3466.0,238.0,310.0,705.0,251.0,305.0,501.0,831.0,434.0,681.0,488.0,536.0,2163.0,277.0,748.0,625.0,621.0
