ST04Q01,ST82Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,458,239,539,154,196,815,327,551,297,86,249,745,55,123,83,206,264,59,248,64,268,118,397,86,129,132,458,125,160,671,126,443,358,432,235,8,208,188,80,224,47,1264,451,141,178,231,45,602,267,174,700,594,87,486,70,192,131,726,217,459,225,439,329,373,399,130,226,89
Female,Disagree,265,565,1829,516,873,1979,656,1909,794,457,838,974,129,459,600,963,1120,488,1191,168,343,409,567,481,630,468,815,420,695,3744,602,617,696,559,491,39,399,493,511,659,136,3967,467,442,514,551,172,546,532,675,961,453,487,503,455,643,499,2025,703,1166,655,374,380,1048,1274,406,776,727
Female,Strongly agree,404,184,359,62,144,497,189,639,251,44,86,574,58,91,25,53,56,55,73,62,256,33,223,23,47,63,185,214,61,271,43,459,196,128,90,7,111,99,25,112,63,669,294,50,163,66,23,487,137,116,462,474,69,294,50,65,48,316,52,199,128,387,341,273,496,162,117,36
Female,Strongly disagree,175,884,1849,778,1501,3077,472,3970,914,1170,881,546,298,890,934,512,958,1011,1320,333,688,818,514,804,833,449,399,919,828,5295,1192,851,670,436,639,29,786,852,1117,765,338,5587,298,733,515,602,323,271,597,889,1230,206,1033,242,1250,522,1060,5244,524,1841,1502,267,497,2012,1915,877,608,900
Male,Agree,474,355,783,228,339,1068,463,958,400,173,335,759,73,136,215,320,371,146,498,102,248,167,447,186,260,197,536,140,176,1374,288,551,437,553,231,23,354,290,183,349,71,1801,458,240,279,334,67,641,339,303,776,569,196,438,178,340,381,1143,299,664,417,365,450,664,544,241,323,125
Male,Disagree,278,526,1887,527,872,1788,590,2055,797,502,772,873,158,376,589,773,1027,554,1177,185,384,408,486,561,586,436,724,418,528,3881,666,436,601,577,497,34,423,540,582,534,156,3556,407,504,512,562,178,447,528,643,845,422,497,433,431,669,633,2243,613,1093,478,268,387,1004,1391,515,538,592
Male,Strongly agree,376,246,418,115,206,750,312,779,287,96,153,553,56,134,112,113,114,80,212,66,236,77,309,56,101,103,211,234,110,735,113,688,258,196,152,5,233,148,70,187,64,1090,321,74,138,115,45,449,155,182,701,444,138,369,107,128,185,558,111,332,215,326,379,584,577,189,185,75
Male,Strongly disagree,224,649,1562,670,1243,2008,319,3016,715,925,694,439,246,648,728,481,809,758,937,256,539,672,427,814,564,382,339,835,580,4349,1130,414,582,449,464,41,528,737,965,551,243,4196,270,625,441,470,295,226,449,709,892,180,929,226,1103,443,799,4257,436,1559,760,273,407,1325,1586,704,468,752
