ST04Q01,IC11Q02,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,No,5059.0,1814.0,3339.0,2819.0,2148.0,2789.0,1795.0,2105.0,2252.0,1689.0,1711.0,3693.0,1797.0,1942.0,1694.0,2101.0,1197.0,2192.0,1555.0,11223.0,2354.0,1691.0,2065.0,1714.0,112.0,1758.0,11339.0,1551.0,1633.0,1342.0,578.0,2090.0,2093.0,1702.0,1791.0,1980.0,1751.0,2038.0,9518.0,1811.0,4326.0,1539.0,1842.0
Female,"Yes, but only the teacher demonstrated this ",669.0,132.0,279.0,214.0,420.0,154.0,104.0,133.0,125.0,434.0,161.0,239.0,97.0,241.0,213.0,107.0,93.0,182.0,115.0,964.0,75.0,586.0,156.0,197.0,12.0,265.0,2385.0,311.0,214.0,222.0,63.0,89.0,287.0,245.0,128.0,278.0,127.0,221.0,885.0,163.0,511.0,266.0,151.0
Female,"Yes, students did this",960.0,306.0,269.0,348.0,56.0,135.0,264.0,200.0,174.0,1063.0,477.0,284.0,134.0,304.0,162.0,183.0,221.0,124.0,369.0,1851.0,442.0,1093.0,113.0,247.0,13.0,537.0,2734.0,155.0,189.0,567.0,195.0,161.0,314.0,596.0,324.0,451.0,272.0,344.0,1404.0,172.0,479.0,457.0,283.0
Male,No,4635.0,1613.0,3028.0,2430.0,1865.0,2474.0,1451.0,1883.0,2007.0,1381.0,1420.0,3292.0,1604.0,1596.0,1794.0,1645.0,1089.0,1911.0,1283.0,9697.0,2389.0,888.0,2169.0,1436.0,107.0,1606.0,8950.0,1466.0,1417.0,1123.0,500.0,1716.0,1830.0,1383.0,1413.0,1797.0,1658.0,1842.0,8707.0,1535.0,3901.0,1300.0,1348.0
Male,"Yes, but only the teacher demonstrated this ",964.0,221.0,357.0,336.0,546.0,231.0,145.0,264.0,223.0,516.0,305.0,409.0,157.0,427.0,274.0,213.0,150.0,281.0,212.0,1862.0,111.0,917.0,262.0,290.0,16.0,411.0,2950.0,450.0,311.0,281.0,101.0,180.0,483.0,330.0,264.0,383.0,267.0,557.0,1281.0,256.0,755.0,476.0,271.0
Male,"Yes, students did this",1290.0,428.0,371.0,416.0,110.0,197.0,259.0,302.0,242.0,1152.0,542.0,450.0,225.0,391.0,258.0,279.0,307.0,157.0,390.0,2696.0,607.0,1161.0,239.0,338.0,31.0,653.0,3190.0,230.0,260.0,789.0,269.0,242.0,390.0,791.0,487.0,552.0,399.0,579.0,1665.0,268.0,690.0,601.0,388.0
