ST04Q01,ST84Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,173,305,266,119,216,868,291,334,194,29,258,365,39,108,115,122,155,52,169,35,108,87,188,49,194,59,449,47,136,882,117,433,188,146,62,7,175,134,81,269,37,1216,215,102,91,156,49,227,115,144,888,461,132,240,74,212,235,645,136,329,327,261,202,456,209,88,170,83
Female,Disagree,540,805,1440,406,1115,2629,702,2099,785,469,1065,1238,132,492,693,797,852,614,1104,173,513,333,805,495,856,351,1011,564,590,4217,715,927,921,676,548,20,369,505,666,821,142,4328,721,486,409,502,250,742,701,678,1091,762,676,747,549,697,819,2956,529,1217,1081,601,555,1478,1337,398,772,723
Female,Strongly agree,116,154,82,43,48,428,127,101,87,11,49,143,10,48,40,37,37,16,46,16,39,31,70,12,52,25,156,34,65,258,21,229,77,15,25,1,49,73,16,95,15,556,98,41,29,62,20,100,49,40,432,231,76,68,30,60,77,243,33,100,120,108,109,193,85,27,86,36
Female,Strongly disagree,477,603,2783,954,1337,2429,509,4520,1200,1252,682,1055,357,917,797,783,1365,934,1521,402,887,928,636,840,539,680,238,1037,943,4639,1108,778,738,714,825,56,913,919,969,563,389,5378,484,732,844,737,245,794,679,994,915,277,789,466,1172,461,620,4452,789,2025,981,491,675,1551,2454,1063,691,908
Male,Agree,205,402,562,220,368,1229,464,707,317,72,356,483,56,132,242,246,265,123,411,85,153,144,272,122,312,124,524,84,152,1687,232,556,338,268,163,11,317,287,168,363,58,1831,328,196,170,283,76,338,246,280,877,497,226,350,170,430,524,1041,281,553,533,260,352,750,341,199,268,160
Male,Disagree,560,658,1497,419,1007,1994,561,2061,774,531,842,1086,141,384,636,692,844,643,1150,168,435,305,669,519,700,396,867,426,430,3879,850,546,781,670,503,19,419,473,739,669,141,3993,545,533,439,527,252,690,592,640,870,610,715,541,434,657,750,2850,534,1131,685,428,526,1091,1265,458,574,636
Male,Strongly agree,129,233,164,106,139,642,255,327,123,38,112,238,24,101,122,86,95,67,133,30,88,87,182,50,114,45,194,52,103,904,68,502,167,56,87,10,166,155,55,145,18,911,214,61,61,100,40,159,124,115,655,297,135,196,68,150,243,504,85,273,201,176,203,520,146,76,178,53
Male,Strongly disagree,452,471,2438,796,1139,1714,398,3701,990,1055,642,789,309,676,641,664,1128,700,1122,325,722,797,533,927,385,557,229,1070,717,3908,1043,472,590,777,597,64,636,806,832,437,316,3877,370,649,706,572,222,563,515,806,790,207,685,382,1151,340,492,3792,580,1680,447,374,534,1201,2367,902,493,692
