ST04Q01,EC04Q06C,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,3500.0,1414.0,3087.0,4787.0,2236.0,849.0,2237.0,1223.0,1358.0,1360.0,1649.0,7260.0,1489.0,704.0,1344.0,1544.0,1178.0,1246.0,1047.0,1552.0,1297.0,824.0
Female,2,3306.0,915.0,1094.0,5997.0,399.0,1629.0,1486.0,3110.0,733.0,1147.0,891.0,7921.0,851.0,1476.0,1230.0,1052.0,940.0,1534.0,1269.0,1194.0,902.0,1848.0
Male,1,3077.0,1173.0,2782.0,4027.0,2074.0,698.0,1911.0,1175.0,1639.0,986.0,1448.0,6569.0,1546.0,521.0,1113.0,1574.0,1062.0,1084.0,860.0,1419.0,1227.0,705.0
Male,2,4000.0,1187.0,1344.0,6385.0,464.0,1819.0,1694.0,3181.0,740.0,1277.0,1003.0,9172.0,1143.0,1583.0,1554.0,1150.0,1063.0,1695.0,1395.0,1363.0,1177.0,2468.0
